data_hora,velocidade_download,velocidade_upload,ping,latencia,enviados,recebidos,nome_componente,id_maquina,hostname,razao_social
10:02:10,7.69329,7.8323,21.243,10.6215,13.58854,13.58854,REDE,1,notebook-ritinha,ViaMobilidade
10:02:38,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
10:03:25,8.38873,7.61645,21.243,10.6215,14.74004,14.74004,REDE,1,notebook-ritinha,ViaMobilidade
10:03:44,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
10:04:44,6.45098,5.64425,21.243,10.6215,10.55559,10.55559,REDE,1,notebook-ritinha,ViaMobilidade
10:04:50,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
10:05:55,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
10:06:02,6.62734,4.91957,21.243,10.6215,10.17661,10.17661,REDE,1,notebook-ritinha,ViaMobilidade
10:07:00,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
10:07:15,8.31673,8.10136,21.243,10.6215,16.34657,16.34657,REDE,1,notebook-ritinha,ViaMobilidade
10:08:05,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
10:08:30,8.31678,7.8382,21.243,10.6215,15.38795,15.38795,REDE,1,notebook-ritinha,ViaMobilidade
10:09:10,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
10:09:43,8.37985,8.12995,21.243,10.6215,17.48756,17.48756,REDE,1,notebook-ritinha,ViaMobilidade
10:10:14,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
10:10:58,8.47047,8.06292,21.243,10.6215,16.99493,16.99493,REDE,1,notebook-ritinha,ViaMobilidade
10:11:20,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
10:12:11,7.69642,8.04962,21.243,10.6215,14.57954,14.57954,REDE,1,notebook-ritinha,ViaMobilidade
10:12:25,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
10:13:25,8.16132,6.4072,21.243,10.6215,13.45417,13.45417,REDE,1,notebook-ritinha,ViaMobilidade
10:13:30,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
10:14:35,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
10:14:38,8.28153,7.97435,21.243,10.6215,15.40839,15.40839,REDE,1,notebook-ritinha,ViaMobilidade
10:15:40,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
10:15:51,8.37035,7.95705,21.243,10.6215,16.09801,16.09801,REDE,1,notebook-ritinha,ViaMobilidade
12:55:34,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
12:56:16,7.89324,7.699,22.555,11.2775,17.37708,17.37708,REDE,1,notebook-ritinha,ViaMobilidade
12:56:38,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
12:57:21,8.06375,7.69771,22.555,11.2775,15.39112,15.39112,REDE,1,notebook-ritinha,ViaMobilidade
20:02:07,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:02:30,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:02:48,167.71623,90.88848,19.199,9.5995,116.402,116.402,REDE,1,notebook-ritinha,ViaMobilidade
20:02:54,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:03:17,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:03:39,165.19171,89.67935,19.199,9.5995,115.86505,115.86505,REDE,1,notebook-ritinha,ViaMobilidade
20:03:41,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:04:03,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:04:26,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:04:31,180.1655,87.77718,19.199,9.5995,113.92712,113.92712,REDE,1,notebook-ritinha,ViaMobilidade
20:04:49,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:05:12,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:05:19,204.75247,89.31973,19.199,9.5995,116.82696,116.82696,REDE,1,notebook-ritinha,ViaMobilidade
20:05:35,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:05:57,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:06:07,189.55966,90.27881,19.199,9.5995,116.92519,116.92519,REDE,1,notebook-ritinha,ViaMobilidade
20:06:20,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:06:42,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:06:55,193.2915,90.48858,19.199,9.5995,117.47266,117.47266,REDE,1,notebook-ritinha,ViaMobilidade
20:07:05,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:07:27,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:07:42,194.22678,89.532,19.199,9.5995,116.31795,116.31795,REDE,1,notebook-ritinha,ViaMobilidade
20:07:50,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:08:12,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:08:30,142.57148,88.84777,19.199,9.5995,113.1886,113.1886,REDE,1,notebook-ritinha,ViaMobilidade
20:08:35,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:08:57,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:09:17,150.93209,89.58435,19.199,9.5995,114.31329,114.31329,REDE,1,notebook-ritinha,ViaMobilidade
20:09:20,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:09:42,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:10:05,197.68638,89.49001,19.199,9.5995,116.2062,116.2062,REDE,1,notebook-ritinha,ViaMobilidade
20:10:27,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:10:49,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:10:51,182.91846,90.3833,19.199,9.5995,116.53826,116.53826,REDE,1,notebook-ritinha,ViaMobilidade
20:11:12,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:11:34,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:11:40,187.67211,88.47316,19.199,9.5995,114.56331,114.56331,REDE,1,notebook-ritinha,ViaMobilidade
20:11:57,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:12:20,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:12:30,188.14148,87.65464,19.199,9.5995,114.04736,114.04736,REDE,1,notebook-ritinha,ViaMobilidade
20:12:43,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:13:05,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:13:19,187.56156,80.39147,19.199,9.5995,105.24825,105.24825,REDE,1,notebook-ritinha,ViaMobilidade
20:13:28,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:13:50,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:14:08,176.96693,90.09323,19.199,9.5995,115.9423,115.9423,REDE,1,notebook-ritinha,ViaMobilidade
20:14:13,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:14:36,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:14:58,192.45883,88.90045,19.199,9.5995,115.70061,115.70061,REDE,1,notebook-ritinha,ViaMobilidade
20:15:21,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:15:44,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:15:46,196.48102,88.00289,19.199,9.5995,114.83726,114.83726,REDE,1,notebook-ritinha,ViaMobilidade
20:16:06,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:16:29,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:16:36,171.66011,90.71048,19.199,9.5995,117.12746,117.12746,REDE,1,notebook-ritinha,ViaMobilidade
20:16:52,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:17:14,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:17:25,194.531,90.41243,19.199,9.5995,116.93494,116.93494,REDE,1,notebook-ritinha,ViaMobilidade
20:17:37,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:17:59,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:18:14,189.50755,84.41836,19.199,9.5995,111.1742,111.1742,REDE,1,notebook-ritinha,ViaMobilidade
20:18:22,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:18:44,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:19:04,161.08272,90.54139,19.199,9.5995,116.06279,116.06279,REDE,1,notebook-ritinha,ViaMobilidade
20:19:07,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:19:29,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:19:52,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:19:53,189.59179,89.01005,19.199,9.5995,115.76704,115.76704,REDE,1,notebook-ritinha,ViaMobilidade
20:20:15,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:20:38,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:20:42,185.89933,87.921,19.199,9.5995,113.97777,113.97777,REDE,1,notebook-ritinha,ViaMobilidade
20:21:01,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:21:25,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:21:33,195.96332,87.16642,19.199,9.5995,113.54022,113.54022,REDE,1,notebook-ritinha,ViaMobilidade
20:21:48,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:22:11,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:22:24,177.42733,89.28149,19.199,9.5995,115.48553,115.48553,REDE,1,notebook-ritinha,ViaMobilidade
20:22:33,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:22:56,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:23:13,126.91865,54.15057,19.199,9.5995,70.78956,70.78956,REDE,1,notebook-ritinha,ViaMobilidade
20:23:19,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:23:43,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:24:03,126.57001,48.12926,19.199,9.5995,64.29547,64.29547,REDE,1,notebook-ritinha,ViaMobilidade
20:24:08,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:24:31,NULL,NULL,NULL,NULL,NULL,NULL,REDE,1,notebook-ritinha,ViaMobilidade
20:24:57,139.20758,81.07275,19.199,9.5995,103.57785,103.57785,REDE,1,notebook-ritinha,ViaMobilidade
